X,Y,id,name
22.9337396,40.6491224,15690206,Εργατικών Κατοικιών Αξιού
22.9338644,40.6491388,15690206,Εργατικών Κατοικιών Αξιού
22.9340246,40.6491583,15690206,Εργατικών Κατοικιών Αξιού
22.9339758,40.6486934,15690292,
22.9346149,40.6488209,15690292,
22.9346738,40.6488321,15690292,
22.9349557,40.6488931,15690292,
22.9319091,40.6484241,15690315,
22.9318859,40.6485459,15690315,
22.9312128,40.6491104,15690315,
22.9311127,40.6491592,15690315,
22.9302307,40.6495057,15690315,
22.9260071,40.6474717,15691163,Συνταγματάρχου Φρυζή
22.9263279,40.6478384,15691163,Συνταγματάρχου Φρυζή
22.9265922,40.6481607,15691163,Συνταγματάρχου Φρυζή
22.9267924,40.6483358,15691163,Συνταγματάρχου Φρυζή
22.9271264,40.6486323,15691163,Συνταγματάρχου Φρυζή
22.9276548,40.6491318,15691163,Συνταγματάρχου Φρυζή
22.9277956,40.6492971,15691163,Συνταγματάρχου Φρυζή
22.9277594,40.6493986,15691163,Συνταγματάρχου Φρυζή
22.9279415,40.6497139,15691163,Συνταγματάρχου Φρυζή
22.9180322,40.6521107,15691195,Γεωργίου Γεννηματά
22.9177877,40.6526442,15691195,Γεωργίου Γεννηματά
22.9174062,40.6532162,15691195,Γεωργίου Γεννηματά
22.916763,40.6542161,15691195,Γεωργίου Γεννηματά
22.9166074,40.6544717,15691195,Γεωργίου Γεννηματά
22.9174062,40.6532162,15691227,Κυριάκου Μάτση
22.9179452,40.6537154,15691227,Κυριάκου Μάτση
22.9184897,40.6542197,15691227,Κυριάκου Μάτση
22.918996,40.6546886,15691227,Κυριάκου Μάτση
22.9172642,40.6550275,15691251,Πλαταιών
22.9184897,40.6542197,15691251,Πλαταιών
22.9194893,40.6531278,15691346,Αρη Βελουχιώτη
22.9199279,40.652889,15691346,Αρη Βελουχιώτη
22.9202223,40.652744,15691346,Αρη Βελουχιώτη
22.9207366,40.6525079,15691346,Αρη Βελουχιώτη
22.9259899,40.6499605,15691488,Ελευθερίας
22.9271275,40.6511956,15691488,Ελευθερίας
22.9274605,40.6515265,15691488,Ελευθερίας
22.92755,40.65162,15691488,Ελευθερίας
22.9250147,40.6514916,15691593,Θησέως
22.9252469,40.6517595,15691593,Θησέως
22.9225631,40.6498718,15691746,Αγάθωνος
22.9228659,40.649729,15691746,Αγάθωνος
22.9229941,40.6496698,15691746,Αγάθωνος
22.9231994,40.6495618,15691746,Αγάθωνος
22.9233105,40.6494885,15691746,Αγάθωνος
22.9235055,40.6493839,15691746,Αγάθωνος
22.9237873,40.649219,15691746,Αγάθωνος
22.9242385,40.6489731,15691746,Αγάθωνος
22.9242887,40.6489381,15691746,Αγάθωνος
22.9243984,40.6488613,15691746,Αγάθωνος
22.9246614,40.6487152,15691746,Αγάθωνος
22.9251798,40.6484426,15691746,Αγάθωνος
22.9253923,40.648336,15691746,Αγάθωνος
22.9256055,40.6482291,15691746,Αγάθωνος
22.925945,40.6480517,15691746,Αγάθωνος
22.9263279,40.6478384,15691746,Αγάθωνος
22.9265976,40.6476859,15691746,Αγάθωνος
22.9271645,40.6473635,15691746,Αγάθωνος
22.9293197,40.6533516,15691794,Σ. Ελμάζη
22.9285337,40.6538489,15691794,Σ. Ελμάζη
22.9283621,40.6539661,15691794,Σ. Ελμάζη
22.9276012,40.6544452,15691794,Σ. Ελμάζη
22.927102,40.6547113,15691794,Σ. Ελμάζη
22.9267993,40.6548794,15691794,Σ. Ελμάζη
22.9235184,40.6509168,15691842,Πέραν
22.9235301,40.651121,15691842,Πέραν
22.9235386,40.6513357,15691842,Πέραν
22.9235517,40.6515933,15691842,Πέραν
22.9235602,40.6517664,15691842,Πέραν
22.9235678,40.6519228,15691842,Πέραν
22.9235868,40.6522625,15691842,Πέραν
22.9259435,40.6548077,15691863,Θεμιστοκλή Σοφούλη
22.9267703,40.6556204,15691863,Θεμιστοκλή Σοφούλη
22.9273502,40.6561904,15691863,Θεμιστοκλή Σοφούλη
22.9236437,40.6549795,15691938,Εθνικής Αντίστασης
22.925049,40.6546759,15691938,Εθνικής Αντίστασης
22.9251515,40.6546513,15691938,Εθνικής Αντίστασης
22.9254009,40.6545261,15691938,Εθνικής Αντίστασης
22.9260868,40.6540754,15691938,Εθνικής Αντίστασης
22.9268171,40.6536039,15691938,Εθνικής Αντίστασης
22.9276582,40.653061,15691938,Εθνικής Αντίστασης
22.9283449,40.6526312,15691938,Εθνικής Αντίστασης
22.928436,40.6525653,15691938,Εθνικής Αντίστασης
22.9289373,40.652262,15691938,Εθνικής Αντίστασης
22.9291285,40.6521463,15691938,Εθνικής Αντίστασης
22.9297593,40.6517536,15691938,Εθνικής Αντίστασης
22.9304674,40.6513307,15691938,Εθνικής Αντίστασης
22.9315677,40.6506819,15691938,Εθνικής Αντίστασης
22.9276582,40.653061,15691963,Πλαστήρα
22.9281046,40.6534647,15691963,Πλαστήρα
22.9285337,40.6538489,15691963,Πλαστήρα
22.9288974,40.6529759,15691997,Διγενή
22.9281046,40.6534647,15691997,Διγενή
22.9271983,40.6540072,15691997,Διγενή
22.9254117,40.6550701,15692047,Κύπρου
22.9259435,40.6548077,15692047,Κύπρου
22.9264743,40.6545063,15692047,Κύπρου
22.9272738,40.654083,15692047,Κύπρου
22.9286903,40.6612628,15692364,
22.9291957,40.6621236,15692364,
22.9305436,40.6597399,15692406,Ναυαρίνου
22.9306802,40.6599816,15692406,Ναυαρίνου
22.9307865,40.6601699,15692406,Ναυαρίνου
22.9309723,40.6604987,15692406,Ναυαρίνου
22.9314147,40.6612818,15692406,Ναυαρίνου
22.9303619,40.6597135,15692438,Αγίας Τριάδος
22.9305138,40.659662,15692438,Αγίας Τριάδος
22.9309006,40.6595305,15692438,Αγίας Τριάδος
22.9317695,40.6592353,15692438,Αγίας Τριάδος
22.9328587,40.6588653,15692438,Αγίας Τριάδος
22.9303619,40.6597135,15692453,Μαγνησίας
22.9299479,40.6589337,15692453,Μαγνησίας
22.9295292,40.6581816,15692453,Μαγνησίας
22.9293617,40.6578809,15692453,Μαγνησίας
